lon,childrenUrls,url,$type,commonName,children,placeType,lat,additionalProperties,id
-0.10997,[],https://api-argon.tfl.gov.uk/Place/BikePoints_1,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","River Street , Clerkenwell",[],BikePoint,51.529163,BikePoints_1
-0.197574,[],https://api-argon.tfl.gov.uk/Place/BikePoints_2,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Phillimore Gardens, Kensington",[],BikePoint,51.499606,BikePoints_2
-0.084605,[],https://api-argon.tfl.gov.uk/Place/BikePoints_3,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Christopher Street, Liverpool Street",[],BikePoint,51.521283,BikePoints_3
-0.120973,[],https://api-argon.tfl.gov.uk/Place/BikePoints_4,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","St. Chad's Street, King's Cross",[],BikePoint,51.530059,BikePoints_4
-0.156876,[],https://api-argon.tfl.gov.uk/Place/BikePoints_5,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Sedding Street, Sloane Square",[],BikePoint,51.49313,BikePoints_5
-0.144228,[],https://api-argon.tfl.gov.uk/Place/BikePoints_6,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Broadcasting House, Marylebone",[],BikePoint,51.518117,BikePoints_6
-0.168074,[],https://api-argon.tfl.gov.uk/Place/BikePoints_7,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Charlbert Street, St. John's Wood",[],BikePoint,51.5343,BikePoints_7
-0.170134,[],https://api-argon.tfl.gov.uk/Place/BikePoints_8,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Lodge Road, St. John's Wood",[],BikePoint,51.528341,BikePoints_8
-0.092754,[],https://api-argon.tfl.gov.uk/Place/BikePoints_10,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Park Street, Bankside",[],BikePoint,51.505974,BikePoints_10
-0.122502,[],https://api-argon.tfl.gov.uk/Place/BikePoints_11,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Brunswick Square, Bloomsbury",[],BikePoint,51.523951,BikePoints_11
-0.130431,[],https://api-argon.tfl.gov.uk/Place/BikePoints_12,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Malet Street, Bloomsbury",[],BikePoint,51.52168,BikePoints_12
-0.136039,[],https://api-argon.tfl.gov.uk/Place/BikePoints_13,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Scala Street, Fitzrovia",[],BikePoint,51.519914,BikePoints_13
-0.123616,[],https://api-argon.tfl.gov.uk/Place/BikePoints_14,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Belgrove Street , King's Cross",[],BikePoint,51.529943,BikePoints_14
-0.127854,[],https://api-argon.tfl.gov.uk/Place/BikePoints_15,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Great Russell Street, Bloomsbury",[],BikePoint,51.517727,BikePoints_15
-0.125979,[],https://api-argon.tfl.gov.uk/Place/BikePoints_16,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Cartwright Gardens , Bloomsbury",[],BikePoint,51.526357,BikePoints_16
-0.109006,[],https://api-argon.tfl.gov.uk/Place/BikePoints_17,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Hatton Wall, Holborn",[],BikePoint,51.521661,BikePoints_17
-0.122219,[],https://api-argon.tfl.gov.uk/Place/BikePoints_18,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Drury Lane, Covent Garden",[],BikePoint,51.51477,BikePoints_18
-0.131161,[],https://api-argon.tfl.gov.uk/Place/BikePoints_19,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Taviton Street, Bloomsbury",[],BikePoint,51.52505,BikePoints_19
-0.135273,[],https://api-argon.tfl.gov.uk/Place/BikePoints_20,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Drummond Street , Euston",[],BikePoint,51.527736,BikePoints_20
-0.138846,[],https://api-argon.tfl.gov.uk/Place/BikePoints_21,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Hampstead Road (Cartmel), Euston",[],BikePoint,51.530078,BikePoints_21
-0.114079,[],https://api-argon.tfl.gov.uk/Place/BikePoints_22,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Northington Street , Holborn",[],BikePoint,51.522264,BikePoints_22
-0.119123,[],https://api-argon.tfl.gov.uk/Place/BikePoints_23,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Red Lion Square, Holborn",[],BikePoint,51.519435,BikePoints_23
-0.124678,[],https://api-argon.tfl.gov.uk/Place/BikePoints_24,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","British Museum, Bloomsbury",[],BikePoint,51.51908,BikePoints_24
-0.13225,[],https://api-argon.tfl.gov.uk/Place/BikePoints_25,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Doric Way , Somers Town",[],BikePoint,51.528833,BikePoints_25
-0.118295,[],https://api-argon.tfl.gov.uk/Place/BikePoints_26,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Ampton Street , Clerkenwell",[],BikePoint,51.52728,BikePoints_26
-0.107927,[],https://api-argon.tfl.gov.uk/Place/BikePoints_27,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Bouverie Street, Temple",[],BikePoint,51.513821,BikePoints_27
-0.143613,[],https://api-argon.tfl.gov.uk/Place/BikePoints_28,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Bolsover Street, Fitzrovia",[],BikePoint,51.523518,BikePoints_28
-0.193487,[],https://api-argon.tfl.gov.uk/Place/BikePoints_29,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Hereford Road, Bayswater",[],BikePoint,51.513735,BikePoints_29
-0.093421,[],https://api-argon.tfl.gov.uk/Place/BikePoints_30,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Windsor Terrace, Hoxton",[],BikePoint,51.529154,BikePoints_30
-0.084439,[],https://api-argon.tfl.gov.uk/Place/BikePoints_32,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Leonard Circus , Shoreditch",[],BikePoint,51.524696,BikePoints_32
-0.070056,[],https://api-argon.tfl.gov.uk/Place/BikePoints_33,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Central House, Whitechapel",[],BikePoint,51.5156,BikePoints_33
-0.129386,[],https://api-argon.tfl.gov.uk/Place/BikePoints_34,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Pancras Road, King's Cross",[],BikePoint,51.534123,BikePoints_34
-0.18498,[],https://api-argon.tfl.gov.uk/Place/BikePoints_36,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","De Vere Gardens, Kensington",[],BikePoint,51.501737,BikePoints_36
-0.192369,[],https://api-argon.tfl.gov.uk/Place/BikePoints_37,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Penywern Road, Earl's Court",[],BikePoint,51.491593,BikePoints_37
